app_id,name,genre,developer,price_usd,faixa_preco,approval_rate,avg_playtime_h,total_reviews,ivs,ivs_score,tags
438040,Shakes and Fidget,Casual,Playa Games GmbH,0.0,Gratuito,0.9246850490530976,0.0,36593,3.3758,45.3,
738060,Freddy Fazbear's Pizzeria Simulator,Indie,Scott Cawthon,0.0,Gratuito,0.939256512959714,0.0,30209,3.3664,45.2,
418190,Helen's Mysterious Castle,Casual,Satsu,0.81,Ate R$15,0.9303944315545244,0.0,862,3.3724,45.2,
225840,Sven Co-op,Casual,Sven Co-op team,0.0,Gratuito,0.9361348831268361,0.0,31316,3.3669,45.2,
6850,Hitman 2: Silent Assassin,Action,Io-Interactive A/S,0.89,Ate R$15,0.8277010947168015,0.0,4202,3.3699,45.2,"Stealth, Action, Assassins, Third Person, Classic"
205840,Yesterday,Adventure,Pendulo Studios,0.74,Ate R$15,0.8326488706365504,0.0,974,3.3632,45.1,
454060,Blueprint Tycoon,Casual,Endless Loop Studios,0.74,Ate R$15,0.8198529411764706,0.0,1088,3.3648,45.1,
346900,AdVenture Capitalist,Casual,Hyper Hippo Games,0.0,Gratuito,0.8783422911807457,0.0,59166,3.3532,45.0,
2551020,One-armed robber,Indie,Duhndal,0.0,Gratuito,0.9138865936789919,0.0,38728,3.3544,45.0,
3399950,Your Mother,Casual,M for Mother,0.99,Ate R$15,0.9117714285714286,0.0,4375,3.3534,45.0,
380600,Fishing Planet,Sports,Fishing Planet LLC,0.0,Gratuito,0.867653997777744,0.0,65699,3.344,44.9,
1393350,Swaying Girl,Casual,Wet Girl,0.99,Ate R$15,0.8906403940886699,0.0,5075,3.3336,44.7,
265630,Fistful of Frags,Indie,Fistful of Frags Team,0.0,Gratuito,0.9136285919144007,0.0,36262,3.3325,44.7,
1468260,Leaf Blower Revolution - Idle Game,Casual,Humble North,0.0,Gratuito,0.9434999209236122,0.0,25292,3.3234,44.6,
