country,total_jogos,aprovacao,ivs_medio
http://www.wikidata.org/.well-known/genid/7abd589b6453578b3a9e0c585c7900f5,1,0.8128858024691358,2.22
http://www.wikidata.org/.well-known/genid/60593fa451e2a416324e393ec5abaa1f,1,0.795774647887324,1.7325
http://www.wikidata.org/.well-known/genid/3fbd8f5388adeccb0246be4e35e192ee,1,0.5,0.1908
http://www.wikidata.org/.well-known/genid/3eb3c814dfac14a9f9bf884d6c960a57,1,0.4888888888888889,0.8211
http://www.wikidata.org/.well-known/genid/31cccc2958edbeb3db27ecaae91ea7f2,1,0.5567010309278351,1.1197
http://www.wikidata.org/.well-known/genid/2168b95a84e037c14383d3fe3e418570,1,0.9646184965348013,0.3604
Pakistan,1,0.56,0.3934
North Macedonia,1,0.7666666666666667,0.2743
Lebanon,1,0.7575757575757576,0.1161
Cameroon,1,0.6637931034482759,0.1126
